Dual Chop,,,5,EOT,3,"Melee, 1 Target, Doublestrike",--,Tough - Reliable,Physical,Dragon,,o,o,,,,,,,
Dynamax Cannon,,,10,Scene x2,2,"6, 1 Target","The DB of Dynamax Cannon increases by +2 for each positive CS the target has, to a maximum of DB 20.",Cool - Unsettling,Special,Dragon,,,,,,,,,,o
Eternabeam,,,16,Scene,4,"Line 6, Smite, Exhaust",--,Cool - Seen Nothing Yet,Special,Dragon,,,,,,,,,,o
Outrage,,,12,Scene x2,3,"Melee, All Adjacent Foes, Smite",Outrage makes the user becomes Enraged and Confused after damage is dealt.,Cool - Reliable,Physical,Dragon,,o,,,,,,,,o
Roar of Time,,,15,Daily x2,4,"Burst 8, Smite, Exhaust","Roar of Time Slows all legal targets, even if the attack misses.",Cool - Seen Nothing Yet,Special,Dragon,,,,,,,,,,o
Scale Shot,,,3,EOT,4,"6, 1 Target, Five Strike","The user’s Speed is raised 1 CS, and the user’s Defense is lowered 1 CS. ",Tough - Desperation,Physical,Dragon,,,o,,,,,,,
Spacial Rend,,,10,Daily x2,3,"10, 1 Target",Spacial Rend is a Critical Hit on Even-Numbered Rolls.,Tough - Incentives,Special,Dragon,o,,,,,,,,,
Twister,,,4,At-Will,2,"6, Ranged Blast 3","Twister Flinches the target on 18+. Small or Medium targets in the central square of the blast are not hit. Any Pokémon Airborne as a result of Bounce, Fly, or Sky Drop above the Blast are hit, ignoring range, and Twister has a Damage Base of 8 against those targets instead.",Cool - Steady Performance,Special,Dragon,o,,o,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Aura Wheel,,,11,Scene x2,2,"Melee, 1 Target","The user’s Speed is increased 1 CS. 
Special: If the user is in Hangry Mode, Aura Wheel is Dark-Typed.",Cool - Special Attention,Physical,Electric,,o,,,,,,,,
Bolt Beak,,,9,Scene x2,2,"Melee, 1 Target","Against targets with a lower initiative that have not yet acted this round, Bolt Beak deals +10 damage.",Cool - Catching Up,Physical,Electric,,o,,,,,,,,
Bolt Strike,,,13,Scene x2,5,"10, 1 Target, Smite",Bolt Strike Paralyzes the target on 17+.,Cool - Exhausting Act,Physical,Electric,o,,,,,,,,,
Charge,,,--,EOT,--,Self,"If the user performs an Electric Attack on its next turn, add its Damage Dice Roll an extra time to the damage. Raise the user's Special Defense by +1 CS.",Smart - Get Ready!,Status,Electric,,,,,,,,,,
Charge Beam,,,5,At-Will,4,"6, 1 Target","If Charge Beam successfully hits a target, roll 1d20. On a roll of 7+, the user's Special Attack is raised by +1 Combat Stage.",Beauty - Exhausting Act,Special,Electric,,,o,,,,,,,
Discharge,,,8,EOT,2,All Cardinally Adjacent Targets,Discharge Paralyzes all legal targets on 15+.,Cool - Exhausting Act,Special,Electric,o,,,,,,,,,
Eerie Impulse,,,--,EOT,2,"6, 1 Target",Lower the target's Special Attack by -2 CS. *Grants Glow.,Cool - Excitement,Status,Electric,,,,,,,,,,
Electric Terrain,,,--,Daily x2,--,Field,"The field becomes Electrified for 5 rounds. While the field is Electrified, Pokemon and Trainers touching the ground are immune to Sleep, and Electric-Type attacks used by Pokemon and Trainers touching the ground gain a +10 Bonus to Damage Rolls.",Cool - Sabotage,Status,Electric,,,,,,,,,,
Electrify,,,--,EOT,--,"6, 1 Target.","Until the end of the user's next turn, the target's damaging Water-Type attacks and Melee attacks of any Type deal Electric-Type Damage instead of their usual Type.",Cool - Sabotage,Status,Electric,,,,,,,,,,
Electro Ball,,,6,Scene x2,2,"10, 1 Target","When determining the damage dealt by Electro Ball, the user adds its Speed Stat (including CS) in addition to their Special Attack Stat. The target in turn subtracts both its Speed and Special Defense Stats from the damage dealt before applying Type Effectiveness.",Beauty - Double TIme,Special,Electric,,,o,,,,,,,
Electroweb,,,6,EOT,3,"4, Ranged Blast 2",Lower the Speed of all legal targets by -1 CS.,Smart - Sabotage,Special,Electric,,,o,,,,,,,
Fusion Bolt,,,10,Scene x2,2,"8, 1 Target, Smite",Fusion Bolt has its Damage Base increased by +3 if Fusion Flare was used this round or last round by any participant of the encounter.,Beauty - Seen Nothing Yet,Physical,Electric,,,,,,,,,,
Ion Deluge,,,--,Scene,--,"5, Ranged Blast 3, Interrupt",An ion cloud is dispersed in the targeted area. All Normal-Type Moves targeting into or originating from the area become Electric-Type Moves.,Smart - Attention Grabber,Status,Electric,,,,,,,,,,
Magnet Rise,,,--,Daily x2,--,"Self, Swift Action",The user gains the Levitate Ability for 5 turns. Magnet Rise may be activated as a Swift Action if the user is otherwise given an action that consumes a Command.,Cute - Sabotage,Status,Electric,,,,,,,,,,
Magnetic Flux,,,--,Scene,--,Burst 4,Raise the Defense and Special Defense of all legal targets with the Minus or Plus Abilities by +1 CS.,Smart - Incentives,Status,Electric,,,,,,,,,,
Magnetic Flux [SM],,,--,Scene x2,--,Burst 4,Raise the Defense and Special Defense of all legal targets with the Minus or Plus Abilities by +1 CS.,Smart - Incentives,Status,Electric,,,,,,,,,,
Magnetic Flux [SS],,,--,Scene x2,--,Burst 4,Choose +1 or -1. All targets that are Electric-Type or have the Magnetic Capability receive that many Defense and Special Defense Combat Stages.,Smart - Incentives,Status,Electric,,,,,,,,,,
Nuzzle,,,2,Scene,2,"Melee, 1 Target",Nuzzle Paralyzes the target.,Cute - Double Time,Physical,Electric,,o,o,,,,,,,
Overdrive,,,8,EOT,2,"Cone 2, Sonic",--,Cool - Attention Grabber,Special,Electric,,,,,,,,o,,
Parabolic Charge,,,5,Scene,4,Cone 2,The user gains HP equal to half of the total damage the user dealt to all legal targets.,Cool - Desperation,Special,Electric,,,o,,,,,,,
Parabolic Charge [SM],,,7,Scene,2,Cone 2,The user gains HP equal to half of the total damage the user dealt to all legal targets.,Cool - Desperation,Special,Electric,,,,,,,,,,
Plasma Fists,,,10,Scene,5,"Melee, 1 Target, Smite",The Target's next damaging Normal Type Move instead becomes Electric Type.,--,Physical,Electric,o,o,,,,,,,,
Rising Voltage,,,7,Scene x2,2,"Burst 2, Groundsource, Spirit Surge","After Rising Voltage is resolved, you may create Electric Terrain in a Blast 7, centered on the user, that lasts for 5 turns. Any creatures in those spaces are affected as if by the Field Move Electric Terrain, rather than any other Field Move. This Effect may trigger only once per Scene. ",Cool - Attention Grabber,Special,Electric,,,,,,,,,,
Shock Wave,,,6,At-Will,--,"6, 1 Target",Shock Wave cannot miss. *Grants Zapper,Cool - Exhausting Act,Special,Electric,,,o,,,,,,,
Spark,,,6,EOT,2,"Melee, 1 Target, Dash",Spark Paralyzes the target on 15+.,Cool - Steady Performance,Physical,Electric,o,o,o,,,,,,,
Thunder,,,11,Scene x2,7,"12, 1 Target, Smite","Thunder Paralyzes the target on 15+. If the target is in Sunny Weather, Thunder's Accuracy Check is 11. If the target is in Rainy Weather, Thunder cannot miss. If the target is airborne as a result of Bounce, Fly, or Sky Drop, Thunder cannot miss.",Cool - Exhausting Act,Special,Electric,o,,,,,,,,,
Thunder Cage,,,8,Daily x2,4,"8, Ranged Blast 2, Spirit Surge",The targets are trapped in a Vortex. The DC to escape the Vortex is increased by 3.,Smart - Sabotage,Special,Electric,,,,,,,,,,
Thunder Fang,,,7,At-Will,3,"Melee, 1 Target","Thunder Fang Paralyzes or Flinches on 18-19; flip a coin to determine whether the foe becomes Paralyzed or Flinched. On 20, the foe is both Paralyzed and Flinched.",Smart - Steady Performance,Physical,Electric,o,o,,,,,,,o,
Thunderbolt,,,9,EOT,2,"4, 1 Target",Thunderbolt Paralyzes the target on 19+.,Cool - Exhausting Act,Special,Electric,o,,,,,,,,,
Thunder Punch,,,8,At-Will,2,"Melee, 1 Target",Thunder Punch Paralyzes the target on 19+.,Cool - Exhausting Act,Physical,Electric,o,o,,,o,,,,,
Thunder Shock,,,4,At-Will,2,"4, 1 Target",Thunder Shock Paralyzes the target on 17+. *Grants Zapper,Cool - Steady Performance,Special,Electric,o,,o,,,,,,,
Thunder Wave,,,--,Scene x2,--,"6, 1 Target",Thunder Wave cannot miss. Thunder Wave Paralyzes the target. Pokémon immune to Electric Attacks are immune to Thunder Wave's effects.,Cool - Excitement,Status,Electric,,,,,,,,,,
Thunder Wave [SM],,,--,Scene x2,4,"6, 1 Target",Thunder Wave Paralyzes the target. Pokémon immune to Electric Attacks are immune to Thunder Wave's effects.,Cool - Excitement,Status,Electric,,,,,,,,,,
Volt Switch,,,7,At-Will,2,"5, 1 Target","If Volt Switch successfully hits its target, the user deals damage and then immediately is returned to its Poke Ball in the same turn. A New Pokemon may immediately be sent out. Using Volt Switch lets a Trapped user be recalled",Cute - Inversed Appeal,Special,Electric,,,,,,,,,,
Volt Tackle,,,12,Scene x2,2,"Melee, 1 Target, Dash, Recoil 1/3",Volt Tackle Paralyzes the target on 19+.,Cool - Seen Nothing Yet,Physical,Electric,,o,,o,,,,,,o
Wild Charge,,,9,At-Will,2,"Melee, 1 Target, Dash, Recoil 1/4",--,Tough - Steady Performance,Physical,Electric,,o,,o,,,,,,o
Wildbolt Storm,,,10,Scene,5,"6, Ranged Blast 3, Smite",The Target is Paralyzed on a 15+,Cool - Unsettling,Special,Electric,o,,,,,,,,,
Zap Cannon,,,12,At-Will,9,"12, 1 Target",Zap Cannon Paralyzes the target. Zap Cannon ignores the target's Evasion if their are no other combatants or Rough or Blocking Terrain within 2 meters of the target.,Cool - Incentives,Special,Electric,,,,,,,,,,
